 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 4.070  0.61747 -2.49965
 4.075  0.60493 -2.51565
 4.080  0.59231 -2.53136
 4.085  0.57962 -2.54677
 4.090  0.56685 -2.56189
 4.095  0.55400 -2.57671
 4.100  0.54108 -2.59124
 4.105  0.52809 -2.60546
 4.110  0.51502 -2.61939
 4.115  0.50189 -2.63301
 4.120  0.48869 -2.64632
 4.125  0.47543 -2.65932
 4.130  0.46210 -2.67202
 4.135  0.44871 -2.68440
 4.140  0.43526 -2.69648
 4.145  0.42175 -2.70823
 4.150  0.40817 -2.71967
 4.155  0.39455 -2.73080
 4.160  0.38087 -2.74160
 4.165  0.36713 -2.75209
 4.170  0.35335 -2.76225
 4.175  0.33951 -2.77209
 4.180  0.32563 -2.78161
 4.185  0.31169 -2.79080
 4.190  0.29772 -2.79966
 4.195  0.28370 -2.80819
 4.200  0.26964 -2.81640
 4.205  0.25553 -2.82427
 4.210  0.24139 -2.83182
 4.215  0.22721 -2.83902
 4.220  0.21300 -2.84590
 4.225  0.19876 -2.85244
 4.230  0.18448 -2.85864
 4.235  0.17017 -2.86451
 4.240  0.15583 -2.87004
 4.245  0.14147 -2.87523
